# Data taken on 2022-08-14_162045
# Amplifier AM Modulation Voltage: 3.25 V
# RF Freq/MHz	RF Input/dBm	Power/uW	Dev/uW
67.5	-1.0	210.7203476666667	0.8184015148209481
67.5	-1.5	203.193266	1.3139489784275002
67.5	-2.0	193.17258400000003	1.225187912231152
67.5	-2.5	181.58095933333334	0.7267621107897385
67.5	-3.0	171.68045199999997	0.8959185668143425
67.5	-3.5	159.51378133333336	0.983849886678972
67.5	-4.0	148.20321	0.6409826881957623
67.5	-4.5	138.09437333333335	0.596642098153397
67.5	-5.0	127.01511733333334	0.6710201364834163
67.5	-5.5	115.53549366666668	0.583185716525953
67.5	-6.0	105.93965499999999	0.47680318438708735
67.5	-6.5	95.71266286666666	0.4766259860601207
67.5	-7.0	87.41634803333334	0.2887078044831233
67.5	-7.5	80.10080166666667	0.29036028321820334
67.5	-8.0	72.66442636666666	0.36985336672993224
67.5	-8.5	65.36275323333334	0.33921594679920203
