# Data taken on 2022-08-09_191857
# Amplifier AM Modulation Voltage: 3.25 V, 100% = 611.09 +/- 1.83 uW
# RF Freq/MHz	RF Input/dBm	Power/uW	Dev/uW
77.0	-7.5	173.92697066666668	0.4308495241646296
77.0	-8.0	156.46624633333334	0.32895387871233406
77.0	-8.5	142.38504733333332	0.4171764292153727
77.0	-9.0	128.373638	0.47344420750777655
77.0	-9.5	115.94676666666668	0.4095334250366169
77.0	-10.0	103.98211533333334	0.6231573819656014
77.5	0.0	499.44296099999997	2.822956500103929
77.5	-0.5	492.671753	2.2873414514069212
77.5	-1.0	472.2876156666667	2.44628796736768
77.5	-1.5	451.06401099999994	0.996151040193707
77.5	-2.0	428.68881833333336	0.8226443042594752
77.5	-2.5	404.54842766666667	0.5103252650038248
77.5	-3.0	378.7961856666667	0.5650976976251307
77.5	-3.5	351.62094233333335	0.4893420674823378
77.5	-4.0	323.8896526666667	0.3660311116461096
77.5	-4.5	300.28462233333335	1.1602803697244417
77.5	-5.0	276.39259166666665	0.8063000725105717
77.5	-5.5	254.2269023333333	0.46579747687296674
77.5	-6.0	230.64154166666665	0.2262084280714473
77.5	-6.5	209.85802133333334	0.2570179647642459
77.5	-7.0	190.56519200000005	0.4029160207818328
77.5	-7.5	172.18132766666665	0.23414747269165456
77.5	-8.0	155.79580066666668	0.16798273006340714
77.5	-8.5	141.71266133333333	0.2876244866225561
77.5	-9.0	128.0229963333333	0.16852622047193555
77.5	-9.5	115.23342833333335	0.3034180903152538
77.5	-10.0	104.03507499999999	0.19584771305362111
78.0	0.0	499.07378933333325	0.8308711470215386
78.0	-0.5	487.14877366666667	0.5376387781524135
78.0	-1.0	469.97361	0.5780518268863681
78.0	-1.5	451.55079166666667	0.6611815773778732
78.0	-2.0	428.76928266666675	0.47631064383749505
78.0	-2.5	404.5680013333333	0.7025462129508329
78.0	-3.0	378.0989389999999	0.6952356899730727
78.0	-3.5	353.9124039999999	0.28630688334489285
78.0	-4.0	325.63152733333334	0.3350362824922421
78.0	-4.5	301.185313	0.3062302309771735
